# file_glob	line_regex	category	notes
ROADMAP_0_0_7.md	^\s*without\ legacy\ BEAM/NIF\ fallback\ in\ verified\ proof\ coverage\.$	stale-proof-cleanup	Roadmap line scopes stale proof cleanup for removed legacy lowering assumptions.
ROADMAP_0_0_7.md	^\s*concurrency\ assumptions\ \(e\.g\.,\ implicit\ OTP\-style\ scheduling\ guarantees\ not$	stale-proof-cleanup	Roadmap line scopes stale proof cleanup for removed legacy lowering assumptions.
ROADMAP_0_0_7.md	^\s*collection\ behaviors\ \(legacy\ BEAM\-only\ semantics\ and\ non\-deterministic\ iteration$	stale-proof-cleanup	Roadmap line scopes stale proof cleanup for removed legacy lowering assumptions.
ROADMAP_0_0_7.md	^\s*depends\ on\ removed\ construct\ assumptions\ \(BEAM\ lowering,\ CoreV0,\ legacy$	stale-proof-cleanup	Roadmap line scopes stale proof cleanup for removed legacy lowering assumptions.
ROADMAP_0_0_7.md	^\s*\-\ \[\ \]\ Slice\ 36:\ implement\ OTP\-style\ service\ abstractions\ in\ Terlan\ over\ VM$	parity-port	Roadmap line scopes legacy behavior as migration parity input for Terlan-owned VM semantics.
ROADMAP_0_0_7.md	^\s*\-\ Requirement:\ high\-level\ OTP\-inspired\ abstractions\ such\ as\ GenServer,$	parity-port	Roadmap line scopes legacy behavior as migration parity input for Terlan-owned VM semantics.
ROADMAP_0_0_7.md	^\s*\-\ Requirement:\ port\ relevant\ OTP\ `gen_server`\ behavioral\ cases\ into$	parity-port	Roadmap line scopes legacy behavior as migration parity input for Terlan-owned VM semantics.
ROADMAP_0_0_7.md	^\s*\-\ Acceptance:\ the\ gate\ fails\ if\ OTP\-style\ framework\ reliability\ is\ validated$	parity-port	Roadmap line scopes legacy behavior as migration parity input for Terlan-owned VM semantics.
ROADMAP_0_0_7.md	^\s*direct\ runtime\ magic\ for\ OTP\-style\ framework\ abstractions\ is\ added\ instead\ of$	parity-port	Roadmap line scopes legacy behavior as migration parity input for Terlan-owned VM semantics.
ROADMAP_0_0_7.md	^\s*rejects\ placeholder/TODO/TBD/fixme\ metadata\ and\ forbidden\ Hex/OTP/Rebar/BEAM$	removal	Roadmap line rejects legacy runtime direction or verifies removal-only cleanup.
ROADMAP_0_0_7.md	^\s*rejection\ selectors\ for\ missing\ VMIR\ bodies,\ BEAM\-shaped\ VMIR\ vocabulary,$	removal	Roadmap line rejects legacy runtime direction or verifies removal-only cleanup.
ROADMAP_0_0_7.md	^\s*`VmMailbox`\ transport\ with\ no\ BEAM\ transport\ term,\ and\ validates\ nonempty\ fields,$	removal	Roadmap line records VM-owned NativeBoundary transport and explicitly rejects legacy BEAM transport terminology.
ROADMAP_0_0_7.md	^\s*`terlan\-vm/erts/rust/terlan_vm/tests/beam_instruction_node_bif_lowering\.rs`:$	parity-port	Roadmap records explicit VM cluster profile node identity evidence before deleting the legacy node BIF lowering suite.
ROADMAP_0_0_7.md	^\s*prerequisites,\ BEAM\ imports/opcodes,\ tagged\ destinations,\ MFA\ dispatch,\ and$	parity-port	Roadmap records discarded legacy node BIF lowering machinery while documenting its explicit VM-owned replacement.
ROADMAP_0_0_7.md	^\s*`terlan\-vm/erts/rust/terlan_vm/tests/beam_instruction_raw_atom_bif_lowering\.rs`:$	parity-port	Roadmap records finite source atom parity evidence before deleting the legacy atom conversion BIF lowering suite.
ROADMAP_0_0_7.md	^\s*`terlan\-vm/erts/rust/terlan_vm/tests/beam_instruction_process_dictionary_bif_lowering\.rs`:$	removal	Roadmap records the checked retirement of implicit process-dictionary lowering in favor of explicit typed Terlan process state.
ROADMAP_0_0_7.md	^\s*`terlan\-vm/erts/rust/terlan_vm/tests/beam_instruction_import_list_bifs\.rs`:$	parity-port	Roadmap records typed VM list-operation parity evidence before deleting the legacy list BIF import suite.
ROADMAP_0_0_7.md	^\s*already\ have\ dedicated\ VM\ parity\ coverage\.\ BEAM\ imports/opcodes,\ MFA\ and$	parity-port	Roadmap records discarded legacy list BIF dispatch machinery while documenting its typed VM-owned replacement.
ROADMAP_0_0_7.md	^\s*`terlan\-vm/erts/rust/terlan_vm/tests/beam_instruction_raw_integer_conversion_bif_lowering\.rs`:$	parity-port	Roadmap records typed VM integer conversion parity evidence before deleting the legacy raw conversion BIF lowering suite.
ROADMAP_0_0_7.md	^\s*failures\.\ BEAM\ imports/opcodes,\ MFA\ dispatch,\ tagged\ operands,\ registers,$	parity-port	Roadmap records discarded legacy integer conversion lowering machinery while documenting its typed VM-owned replacement.
ROADMAP_0_0_7.md	^\s*`terlan\-vm/erts/rust/terlan_vm/tests/beam_loader_node_bif_full_cycle\.rs`:$	parity-port	Roadmap records explicit validated VM node identity evidence before deleting the legacy node BIF full-cycle suite.
ROADMAP_0_0_7.md	^\s*`vm\-coverage\-100\-check`\ pass\.\ The\ external\ erlc/BEAM\ loader,\ atom\-table,$	parity-port	Roadmap records discarded legacy node BIF execution machinery while documenting its explicit VM-owned replacement.
ROADMAP_0_0_7.md	^\s*`terlan\-vm/erts/rust/terlan_vm/tests/beam_instruction_bitstring_lowering\.rs`:$	removal	Roadmap records checked deletion of a BEAM-only bitstring opcode lowering fixture without claiming Terlan-native bitstring parity.
ROADMAP_0_0_7.md	^\s*it\ asserted\ BEAM\ opcode\ `129`,\ tagged\ register\ and\ label\ operands,\ encoded$	removal	Roadmap identifies the retired bytecode representation covered by the deleted fixture.
ROADMAP_0_0_7.md	^\s*`no\-default\-beam\-runtime\-check`\ pass\.\ File\-level\ migration\ progress\ is\ now$	removal	Roadmap records the passing architectural gate that keeps BEAM out of the default runtime.
ROADMAP_0_0_7.md	^\s*`terlan\-vm/erts/rust/terlan_vm/tests/beam_instruction_shallow_type_lowering\.rs`:$	removal	Roadmap records checked deletion of BEAM-only shallow type-test opcode lowering without claiming runtime type-test parity.
ROADMAP_0_0_7.md	^\s*it\ asserted\ raw\ BEAM\ type\-test\ opcode\ numbers,\ tagged\ register\ and\ label$	removal	Roadmap identifies the retired bytecode representation covered by the deleted shallow type-test fixture.
ROADMAP_0_0_7.md	^\s*`terlan\-vm/erts/rust/terlan_vm/tests/beam_instruction_import_lowering\.rs`:$	removal	Roadmap records checked deletion of BEAM-only import-table opcode lowering without claiming cross-module execution as newly ported.
ROADMAP_0_0_7.md	^\s*it\ asserted\ BEAM\ `call_ext_last`\ opcode\ `8`,\ tagged\ operands,\ import\-table$	removal	Roadmap identifies the retired bytecode representation covered by the deleted import lowering fixture.
ROADMAP_0_0_7.md	^\s*`terlan\-vm/erts/rust/terlan_vm/tests/base64\.rs`:$	parity-port	Roadmap records terminal deletion of the legacy Base64 fixture after preserving its observable vectors in the maintained golden adapter.
ROADMAP_0_0_7.md	^\s*`terlan\-vm/erts/rust/terlan_vm/tests/unicode_helpers\.rs`:$	parity-port	Roadmap records terminal deletion of the legacy Unicode width fixture after preserving and strengthening its observable behavior in the golden VM.
ROADMAP_0_0_7.md	^\s*`terlan\-vm/erts/rust/terlan_vm/tests/bits_utf8_put\.rs`:$	parity-port	Roadmap records terminal deletion of the legacy UTF-8 scalar fixture after preserving and strengthening its observable behavior in the golden VM.
ROADMAP_0_0_7.md	^\s*`terlan\-vm/erts/rust/terlan_vm/tests/packet_length\.rs`:$	parity-port	Roadmap records terminal deletion of the legacy packet-length fixture after preserving and strengthening its observable behavior in the golden VM.
ROADMAP_0_0_7.md	^\s*`terlan\-vm/erts/rust/terlan_vm/tests/checksum\.rs`:$	parity-port	Roadmap records terminal deletion of the legacy checksum fixture after preserving and strengthening its observable behavior in the golden VM.
ROADMAP_0_0_7.md	^\s*`terlan\-vm/erts/rust/terlan_vm/tests/beam_runtime_suspension\.rs`:$	parity-port	Roadmap records terminal deletion of the legacy runtime-suspension fixture after preserving and strengthening its observable behavior in the golden actor runtime.
ROADMAP_0_0_7.md	^\s*`terlan\-vm/erts/rust/terlan_vm/tests/md5\.rs`:$	parity-port	Roadmap records terminal deletion of the unsafe legacy MD5 fixture after preserving its observable digest behavior through the maintained RustCrypto NativeBoundary adapter and public Terlan tests.
ROADMAP_0_0_7.md	^\s*`terlan\-vm/erts/rust/terlan_vm/tests/beam_runtime_wakeup\.rs`:$	parity-port	Roadmap records terminal deletion of the legacy wakeup fixture after preserving VM-owned scheduler semantics and retiring BEAM port delivery representation.
ROADMAP_0_0_7.md	^\s*I/O\-reactor\ wake\ contracts\ instead\ of\ BEAM\ ports\.\ The\ exact\-path\ inventory$	removal	Roadmap explains that protocol-specific VM wake contracts replace the retired BEAM port representation.
ROADMAP_0_0_7.md	^\s*`terlan\-vm/erts/rust/terlan_vm/tests/beam_process_scheduler_imports\.rs`:$	parity-port	Roadmap records terminal deletion of the legacy scheduler-import fixture after preserving VM-owned cooperative yield semantics.
ROADMAP_0_0_7.md	^\s*preemption\.\ External\ compilation,\ BEAM\ import\ dispatch,\ instruction$	removal	Roadmap explains the retired compatibility loading and instruction representation after direct VM scheduler replacement.
ROADMAP_0_0_7_UNBLOCKERS.md	^\s*\#\#\ Live\ OTP\-Lane\ HTTP\ Runtime\ Baseline$	historical-baseline	Completed local benchmark baseline retained as historical handoff.
ROADMAP_0_0_7_UNBLOCKERS.md	^\s*BEAM\ handler,\ JSON\ response,\ 100\-client,\ and\ 1000\-client\ tracks\.$	historical-baseline	Completed local benchmark baseline retained as historical handoff.
